Domain|Area|Element|Item|Year|Unit|Value
Livestock Primary|Australia|Producing Animals/Slaughtered|Meat, Poultry|2010|1000 Head|526470
Livestock Primary|Australia|Yield/Carcass Weight|Meat, Poultry|2010|0.1g/An|18485
Livestock Primary|Australia|Production|Meat, Poultry|2010|tonnes|973202
Livestock Primary|Australia|Production|Meat, Total|2010|tonnes|4047952
Livestock Primary|Australia|Milk Animals|Milk, Total|2010|Head|1553000
Livestock Primary|Australia|Yield|Milk, Total|2010|hg/An|58100
Livestock Primary|Australia|Production|Milk, Total|2010|tonnes|9023000
Livestock Primary|Australia|Producing Animals/Slaughtered|Sheep and Goat Meat|2010|Head|27340161
Livestock Primary|Australia|Yield/Carcass Weight|Sheep and Goat Meat|2010|hg/An|213
Livestock Primary|Australia|Production|Sheep and Goat Meat|2010|tonnes|581658
Livestock Primary|Austria|Production|Meat indigenous, pig|2010|Head|5155375
Livestock Primary|Austria|Yield/Carcass Weight|Meat indigenous, pig|2010|hg/An|1200
Livestock Primary|Austria|Production|Meat indigenous, pig|2010|tonnes|618645
Livestock Primary|Austria|Producing Animals/Slaughtered|Meat, pig|2010|Head|5632643
Livestock Primary|Austria|Yield/Carcass Weight|Meat, pig|2010|hg/An|969
Livestock Primary|Austria|Production|Meat, pig|2010|tonnes|545818
Livestock Primary|Austria|Producing Animals/Slaughtered|Beef and Buffalo Meat|2010|Head|702333
Livestock Primary|Austria|Yield/Carcass Weight|Beef and Buffalo Meat|2010|hg/An|3227
Livestock Primary|Austria|Production|Beef and Buffalo Meat|2010|tonnes|226677
Livestock Primary|Austria|Laying|Eggs Primary|2010|1000 Head|5724
Livestock Primary|Austria|Yield|Eggs Primary|2010|100mg/An|165323
Livestock Primary|Austria|Production|Eggs Primary|2010|tonnes|94631
Livestock Primary|Austria|Production|Meat indigenous, poultry|2010|1000 Head|84100
Livestock Primary|Austria|Yield/Carcass Weight|Meat indigenous, poultry|2010||0
Livestock Primary|Austria|Production|Meat indigenous, poultry|2010|tonnes|193869
Livestock Primary|Austria|Production|Meat indigenous, total|2010|tonnes|1058487
Livestock Primary|Austria|Producing Animals/Slaughtered|Meat, Poultry|2010|1000 Head|80028
Livestock Primary|Austria|Yield/Carcass Weight|Meat, Poultry|2010|0.1g/An|16719
Livestock Primary|Austria|Production|Meat, Poultry|2010|tonnes|133798
Livestock Primary|Austria|Production|Meat, Total|2010|tonnes|920059
Livestock Primary|Austria|Milk Animals|Milk, Total|2010|Head|586732
Livestock Primary|Austria|Yield|Milk, Total|2010|hg/An|56004
Livestock Primary|Austria|Production|Milk, Total|2010|tonnes|3285914
Livestock Primary|Austria|Producing Animals/Slaughtered|Sheep and Goat Meat|2010|Head|310727
Livestock Primary|Austria|Yield/Carcass Weight|Sheep and Goat Meat|2010|hg/An|217
Livestock Primary|Austria|Production|Sheep and Goat Meat|2010|tonnes|6736
Livestock Primary|Azerbaijan|Production|Meat indigenous, pig|2010|Head|15400
Livestock Primary|Azerbaijan|Yield/Carcass Weight|Meat indigenous, pig|2010|hg/An|519
Livestock Primary|Azerbaijan|Production|Meat indigenous, pig|2010|tonnes|799
Livestock Primary|Azerbaijan|Producing Animals/Slaughtered|Meat, pig|2010|Head|15400
Livestock Primary|Azerbaijan|Yield/Carcass Weight|Meat, pig|2010|hg/An|519
Livestock Primary|Azerbaijan|Production|Meat, pig|2010|tonnes|800
Livestock Primary|Azerbaijan|Producing Animals/Slaughtered|Beef and Buffalo Meat|2010|Head|1021500
Livestock Primary|Azerbaijan|Yield/Carcass Weight|Beef and Buffalo Meat|2010|hg/An|1100
Livestock Primary|Azerbaijan|Production|Beef and Buffalo Meat|2010|tonnes|112361
Livestock Primary|Azerbaijan|Laying|Eggs Primary|2010|1000 Head|12954
Livestock Primary|Azerbaijan|Yield|Eggs Primary|2010|100mg/An|54735
Livestock Primary|Azerbaijan|Production|Eggs Primary|2010|tonnes|70904
